year,date,type,registration,operator,fatalities,location,damage
1990,23 Feb 1990,Mitsubishi MU-300,N368PU,Purdue Research Foundation,0,"Gary, IN",sub
1990,24 Feb 1990,Fokker F-27 Friendship 600,D-AELB,FTG Air Service Flugcharter,0,near Bergisch Gladbach,w/o
1990,25 Feb 1990,Boeing 737-3T5,G-BLKD,Britannia Airways,0,East Midlands Airport (EMA/EGNX),sub
1990,25 Feb 1990,Learjet 31,N984JD,Lear Jet Corp.,0,Taiyuan Airport (TYN),w/o
1990,27 Feb 1990,Cessna 208A Cargomaster,N820FE,Federal Express,1,"4,8 km from Denver International Airport, CO (DEN)",w/o
1990,28 Feb 1990,IAI Arava 201,GN7960,Guardia Nacional Bolivariana de Venezuela - GNBV,0,near Caracas-La Carlota Airport,w/o
1990,xx Feb 1990,IRMA/Britten-Norman BN-2A-27 Islander,P2-BAC,Bougair,0,"Kieta-Aropa Airport (KIE), Bougainville",w/o
1990,1 Mar 1990,Boeing 707-329C,9Q-CVG,Katale Aero Transport,0,Goma Airport (GOM),w/o
1990,7 Mar 1990,GAF Nomad N.22B,VH-DNM,Sydney Skydivers Parachuting School,0,"1 km S of Leongatha, VIC",sub
1990,9 Mar 1990,Britten-Norman BN-2A-2 Islander,5X-BEE,Bel Air,,Kaabong,w/o
1990,12 Mar 1990,GAF Nomad N.24A,A18-401,Royal Australian Air Force - RAAF,1,"near Mallala, SA",w/o
1990,13 Mar 1990,Boeing 727-227,N271AF,Alaska Airlines,,"Phoenix, AZ",min
1990,14 Mar 1990,Antonov An-2R,HA-MER,"Agricultural High School, lsf MÉM Repülögépes Szolgálat",0,Jászjákóhalma,w/o
1990,15 Mar 1990,Learjet 24,N100VQ,Suncoast Air Charter & Maint.,0,"Anderson, SC",sub
1990,16 Mar 1990,Antonov An-28,CCCP-28702,"Aeroflot, East Siberia Civil Aviation Directorate",0,"Vershino-Darasunskiy, Chita region",w/o
1990,16 Mar 1990,Boeing 737-3G7,N306AW,America West Airlines,0,"Santa Ana-John Wayne Airport, CA (SNA/KSNA)",sub
1990,18 Mar 1990,Douglas C-47A-75-DL (DC-3),HR-SAZ,SAHSA - Servicio Aéreo de Honduras SA,0,Roatan Airport (RTB),w/o
1990,21 Mar 1990,Lockheed L-188CF Electra,HR-TNL,TAN Honduras - Transportes Aéreos Nacionales,3,Las Mesitas,w/o
1990,22 Mar 1990,Hawker Siddeley HS-121 Trident 2E,B-2208,Air China,0,Guilin Airport (KWL),w/o
1990,23 Mar 1990,Antonov An-26,CU-T1436,Cubana de Aviación,4,Santiago-Antonio Maceo Airport (SCU),w/o
1990,24 Mar 1990,Lockheed L-1011-385-1 TriStar 1,VR-HOC,Cathay Pacific Airways,0,Tokyo/Narita International Airport (NRT/RJAA),sub
1990,27 Mar 1990,Beechcraft 100 King Air,N696JB,Private,0,"6,5 km from Uvalde-Garner Field, TX (UVA)",w/o
1990,27 Mar 1990,Ilyushin Il-76MD,CCCP-78781,"Uzbek Civil Aviation Adminstration, lsf Soviet Air Force",9,"7,6 km E of Kabul Airport (KBL)",w/o
1990,27 Mar 1990,CASA C-212-M Aviocar 300,T-410,Angolan Government,25,30 km from Kuito,w/o
1990,29 Mar 1990,de Havilland Canada DHC-6 Twin Otter 200,N200EH,Era Aviation,0,"Chevak, AK",sub
1990,1 Apr 1990,Armstrong Whitworth AW-650 Argosy 222,ZK-SAF,SAFE Air,0,Blenheim-Woodbourne Airport (BHE),w/o
1990,1 Apr 1990,Fairchild FH-227B,5N-ATL,Concord Airlines,0,Lagos-Murtala Muhammed International Airport (LOS),w/o
1990,1 Apr 1990,de Havilland Canada DHC-7-102,G-BRYC,"Air France, opb Brymon Airways",0+1,London-Heathrow Airport (LHR/EGLL),non
1990,2 Apr 1990,Airbus A300,,American Airlines,0,Port-au-Prince Airport (PAP),non
1990,2 Apr 1990,Learjet 35,N51FN,Flight International,0,"Carlsbad-McClellan-Palomar Airport, CA (CLD)",w/o
1990,3 Apr 1990,de Havilland Canada DHC-6 Twin Otter 300,PK-NUQ,Merpati Nusantara Airlines,0,near Labuan Bajo-Mutiara Airport (LBJ),w/o
1990,4 Apr 1990,Fokker F-28 Fellowship 4000,PK-GKU,Garuda Indonesia Airways,0,Balikpapan-Sepingan Airport (BPN),sub
1990,4 Apr 1990,de Havilland Canada DHC-6 Twin Otter 200,HR-ALH,Isleña Airlines,0,off Utila Airport (UII),w/o
1990,5 Apr 1990,Lockheed C-121C Super Constellation,HI-515CT,Aerolineas Mundo - AMSA,1,off Levittown,w/o
1990,5 Apr 1990,GAF Nomad N.22B,VH-DNM,Sydney Skydivers Parachuting School,0,"1 km S of Leongatha, VIC",w/o
1990,6 Apr 1990,Learjet 25C,PT-CMY,Transamérica Táxi Aéreo,2,"Juiz De Fora-Francisco De Assis Airport, MG (JDF)",w/o
1990,7 Apr 1990,Martin 4-0-4,CP-1738,Transportes Aéreos Samuel Selum - TASS,0,Camiare Airstrip,w/o
1990,9 Apr 1990,Embraer EMB-120RT Brasilia,N217AS,"Delta Connection, opb Atlantic Southeast Airlines - ASA",0+2,"4 km from Gadsden Municipal Airport, AL (GAD)",sub
1990,12 Apr 1990,de Havilland Canada DHC-6 Twin Otter 300,LN-BNS,Widerøes Flyveselskap,5,"1,8 km W off Værøy-Stolport Airport (VRY)",w/o
1990,13 Apr 1990,Antonov An-2,CCCP-04355,"Aeroflot, Magadan Civil Aviation Directorate",1,Uelen,w/o
1990,16 Apr 1990,Antonov An-26,YN-BYX,Aeronica - Aerolineas Nicaraguenses,,,w/o
1990,18 Apr 1990,de Havilland Canada DHC-6 Twin Otter 200,N187SA,AeroPerlas,20,"1,5 km off Contadora Airport (OTD)",w/o
1990,18 Apr 1990,Tupolev Tu-134,,Aeroflot,0,Leningrad-Pulkovo Airport (LED),non
1990,18 Apr 1990,McDonnell Douglas DC-10-10F,N68056,Federal Express,0,"Los Angeles, CA",sub
1990,20 Apr 1990,Lockheed C-130H Hercules,9T-TCG,Zaire Air Force,20,near Kinshasa,w/o
1990,20 Apr 1990,Antonov,,Afghanistan Government,10,Khost,w/o
1990,22 Apr 1990,Cessna 501 Citation I/SP,VH-LCL,private,0,"Lord Howe Island Airport, NSW (LDH)",w/o
1990,22 Apr 1990,Antonov An-24RV,RDPL-34008,Lao Aviation,0+1,Luang Namtha Airport (LXG),w/o
1990,25 Apr 1990,Learjet 25D,XA-ROZ,Internacionales De Torreon,0,"Uvalde, TX",sub
1990,26 Apr 1990,Douglas C-47A-30-DK (DC-3),RP-C81,Manila Aero Transport System - MATS,7,near Manila International Airport (MNL),w/o
1990,26 Apr 1990,Antonov An-2R,SP-WPY,Zakladu Uslug Agrolotniczych - ZUA,,near Bam,w/o
1990,30 Apr 1990,Avro Shackleton AEW.2,WR965,Royal Air Force - RAF,10,"3,2 km S of Tarbert",w/o
1990,30 Apr 1990,Douglas C-54P (DC-4),N67109,Aero Union,0,"Chico Airport, CA (CIC)",w/o
1990,30 Apr 1990,Beechcraft C99 Commuter,C-GFAW,Frontier Air,1,"11 km ENE of Moosonee Airport, ON (YMO)",w/o
1990,2 May 1990,Grumman G-159 Gulfstream I,HK-3316X,Helicol Colombia,0,Montería-Los Garzones Airport (MTR),w/o
1990,4 May 1990,GAF Nomad N.24A,N418NE,Tar Heel Aviation,2,"Wilmington-New Hanover County Airport, NC (ILM)",w/o
1990,5 May 1990,Antonov An-26,52 Blue,Soviet Air Force,7,near Spafaryev Island,w/o
1990,5 May 1990,Douglas DC-6BF,N84BL,Aerial Transit Company,3+24,near Guatemala City-La Aurora Airport (GUA),w/o
1990,7 May 1990,Boeing 747-237B,VT-EBO,Air-India,0,Delhi-Indira Gandhi International Airport (DEL),w/o
1990,10 May 1990,Fairchild F-27J,F-GHXA,"Aviacsa, lsf Noroeste",24,"4,5 km S of Tuxtla Gutiérrez Airport (TGZ)",w/o
1990,11 May 1990,Transall C-160D,50+39,Luftwaffe,10,"2,2 km W of Rodenbach",w/o
1990,11 May 1990,Boeing 737-3Y0,EI-BZG,Philippine Air Lines,8,Manila-Ninoy Aquino International Airport (MNL),w/o
1990,11 May 1990,Cessna 500 Citation I,VH-ANQ,Air North Queensland,11,"15 km S of Mareeba, QLD",w/o
1990,11 May 1990,Boeing 737-291(A),N990UA,United Airlines,0,"Washington, DC",non
1990,14 May 1990,Antonov An-2R,SP-WZB,Zakladu Uslug Agrolotniczych - ZUA,,Abarqu,w/o
1990,18 May 1990,Beechcraft 1900C-1,RP-C314,Aerolift Philippines,21+4,1 km S of Manila International Airport (MNL),w/o
1990,19 May 1990,Douglas DC-3A,N1FN,K&K Aircraft,2,"near Capon Bridge, WV",w/o
1990,20 May 1990,Swearingen SA226-T(B) Merlin IIIB,N161RS,,0,"Coeur d'Alene, ID",min
1990,29 May 1990,de Havilland Canada DHC-3 Otter,C-FBCG,Aerokon Aviation,0,"Pelly Crossing, YT",w/o
1990,29 May 1990,Antonov An-26,,Unknown,0,Djibouti Airport (JIB),non
1990,30 May 1990,Pilatus Britten Norman BN2A-26 Islander,VH-RTP,Cape York Air Services,0,"Mabuiag Island Airport, QLD (UBB)",sub
1990,xx May 1990,Antonov An-2T,10 Yellow,"Rigas Aeroklubs, lsf DOSAAF",0,Yelgava Airport,w/o
1990,xx May 1990,Britten-Norman BN-2A-26 Islander,P2-IST,Talair,,Morobe Airport (OBM),w/o
1990,2 Jun 1990,Embraer EMB-120RT Brasilia,OO-DTH,Delta Air Transport - DAT,0+4,Antwerpen-Deurne Airport (ANR),sub
1990,2 Jun 1990,Antonov An-24B,CCCP-46551,"Aeroflot, North Kavkaz Civil Aviation Directorate",0,Kenkiyak,w/o
1990,2 Jun 1990,Boeing 737-2X6C,N670MA,MarkAir,0,"12 km from Unalakleet Airport, AK (UNK)",w/o
1990,4 Jun 1990,Boeing 757-28A,C-GAWB,Odyssey International,0,Glasgow International Airport (GLA/EGPF),non
1990,6 Jun 1990,Cessna 208A Cargomaster,N803FE,"West Air, opf Federal Express",0,"Fresno-Chandler Airport, CA (FCH)",w/o
1990,6 Jun 1990,Fairchild FH-227B,PT-ICA,TABA - Transportes Aéreos da Bacia Amazônica,22,"0,8 km from Altamira Airport, PA (ATM)",w/o
1990,7 Jun 1990,Douglas C-49J (DC-3),C-FPQE,Gouvernement du Québec,0,"Kangiqsujuaq Airport, QC (YWB)",sub
1990,8 Jun 1990,Tupolev Tu-154,,Aeroflot,0,Stockholm-Arlanda Airport (ARN),non
1990,9 Jun 1990,Britten-Norman BN-2A-20 Islander,VH-FCJ,Falcon Airlines,0,"Mabuiag Island Airport, QLD (UBB)",sub
1990,10 Jun 1990,BAC One-Eleven 528FL,G-BJRT,British Airways,0,over Didcot,sub
1990,12 Jun 1990,Ilyushin Il-76MD,CCCP-86905,Aeroflot / Uzbekistan,0,near Kabul Airport (KBL),w/o
1990,16 Jun 1990,Boeing 747-243B,I-DEMC,Alitalia,0,"New York-John F. Kennedy International Airport, NY (JFK)",sub
1990,16 Jun 1990,British Aerospace BAe-146-200,G-PRIN,Princess Air,0,"Jersey Airport, Channel Islands (JER/EGJJ)",sub
1990,19 Jun 1990,Tupolev Tu-134B-3,CCCP-65799,Aeroflot,0,Helsinki-Vantaa Airport (HEL),non
1990,21 Jun 1990,de Havilland Canada DHC-6 Twin Otter 300,C-FWAB,Ptarmigan Airways,2,"Thistle Lake, NT",w/o
1990,21 Jun 1990,Boeing 727-281,N743US,USAir,0,"Charleston, SC",non
1990,23 Jun 1990,Boeing 707-321B,CC-CEI,LAN Chile,0,Santiago-Arturo Merino Benitez Airport (SCL),w/o
1990,24 Jun 1990,Tupolev Tu-134,,Aeroflot,0,Helsinki-Vantaa Airport (HEL),non
1990,26 Jun 1990,Antonov An-2R,CCCP-19730,"Aeroflot, Uralsk Civil Aviation Directorate",3,"15 km E of Shurma, Urzhum district",w/o
1990,28 Jun 1990,Tupolev Tu-154,,Aeroflot,0,Orenburg Airport (REN),non
1990,30 Jun 1990,Tupolev Tu-154,,Aeroflot,0,Stockholm-Arlanda Airport (ARN),non
1990,xx Jun 1990,Lockheed C-121J Super Constellation,HI-532CT,Aerochago Airlines,0,Santo Domingo,w/o
1990,1 Jul 1990,Ilyushin Il-62M,CCCP-86456,"Aeroflot, Moscow Civil Aviation Directorate",0,Yakutsk Airport (YKS),w/o
1990,3 Jul 1990,Lockheed C-130B Hercules,FAC-1007,Fuerza Aérea Colombiana,1,Ocaña-Aguasclaras Airport (OCV),w/o
1990,4 Jul 1990,Tupolev Tu-134,,Aeroflot,0,Rostov Airport (ROV),non
1990,5 Jul 1990,IRMA/Britten-Norman BN-2B-21 Islander,P2-DNJ,Douglas Airways,8,35 km N of Port Moresby,w/o
1990,5 Jul 1990,Tupolev Tu-154,,Aeroflot,0,Stockholm-Arlanda Airport (ARN),non
1990,5 Jul 1990,de Havilland Canada DHC-6 Twin Otter 300,HP-759,AeroPerlas,0,unknown airstrip,unk
1990,10 Jul 1990,Tupolev Tu-154,,Aeroflot,0,Leningrad-Pulkovo Airport (LED),non
1990,12 Jul 1990,Britten-Norman BN-2A-8 Islander,J6-SLW,Eagle Air Services,2,off Union Island,w/o
1990,12 Jul 1990,Tupolev Tu-154,,Aeroflot,0,Leningrad-Pulkovo Airport (LED),non
1990,14 Jul 1990,Boeing 707-349C,ST-ALK,Trans Arabian Air Transport - TAAT,0,Khartoum-Civil Airport (KRT),w/o
1990,14 Jul 1990,Lockheed L-188CF Electra,N4465F,TPI International Airways,0,Aruba-Reina Beatrix Airport (AUA),w/o
1990,14 Jul 1990,Boeing 747-136,G-AWNL,British Airways,0,"Miami, FL",non
1990,15 Jul 1990,Antonov An-32,K2763,Indian Air Force - IAF,,Shivrajpur,w/o
1990,15 Jul 1990,Antonov An-32,K2705,Indian Air Force - IAF,5,Ponmudi Mountain range,w/o
1990,15 Jul 1990,Learjet 24D,N45CP,Concrete Pipe & Products Co.,0,"Benton Harbor, MI",w/o
1990,17 Jul 1990,de Havilland Canada DHC-5D Buffalo,HC-BFH,Fuerza Aérea Ecuatoriana,0,"Calgary International Airport, AB (YYC)",w/o
1990,18 Jul 1990,Tupolev Tu-134,,Aeroflot,0,Sukhumi Airport (SUI),non
1990,18 Jul 1990,Boeing 727-223,N6834,American Airlines,0,"Fort Myers, FL",non
1990,18 Jul 1990,Mitsubishi MU-300,N800TJ,Tyler Jet Aircraft Sales Inc,0,"Milwaukee, WI",sub
1990,19 Jul 1990,Antonov An-2,CCCP-40861,"Aeroflot, Yakutsk Civil Aviation Directorate",,,w/o
1990,19 Jul 1990,Fokker F-27 Friendship 200,G-BCDO,Air UK,0,Amsterdam-Schiphol Airport (AMS),sub
1990,21 Jul 1990,Beechcraft 200 Super King Air,TU-VBB,Air Ivoire,0,Touba Airport (TOZ),w/o
1990,22 Jul 1990,Boeing 737-222,N210US,USAir,0,"Kinston-Stallings Field, NC (ISO)",sub
1990,23 Jul 1990,Tupolev Tu-134,,Aeroflot,0,Petrozavodsk Airport (PES),non
1990,24 Jul 1990,Douglas C-47A-70-DL (DC-3),RP-C140,Victoria Air Inc.,0,near San Juan,w/o
1990,24 Jul 1990,Antonov An-2T,SP-ANZ,Aeroklub Zaglebia Miedziowego,0,near Bielsko Biala Airport,w/o
1990,25 Jul 1990,Boeing 707-379C,ET-ACQ,Ethiopian Airlines,0,Addis Ababa-Bole Airport (ADD),w/o
1990,26 Jul 1990,Antonov An-2,,Aero Manu,0,Iberia,w/o
1990,27 Jul 1990,Gulfstream American G-1159 Gulfstream II,N405MM,Martin Marietta Corporation,0,"Cheyenne, WY",non
1990,31 Jul 1990,Aérospatiale SN.601 Corvette,F-BTTU,DGAC/SFACT,0,Saint-Yan-Charolais Bourgogne Sud Airport (SYT),w/o
1990,31 Jul 1990,Shijiazhuang Y-5,8347,CAAC,2,"Yilan County, Harbin, Heilongjiang Province",w/o
1990,1 Aug 1990,Yakovlev Yak-40,CCCP-87453,Aeroflot / Armenia,46,22 km W of Stepanakert,w/o
1990,3 Aug 1990,McDonnell Douglas DC-10-10,N1804U,United Airlines,0,"Coeur D'alene, ID",non
1990,8 Aug 1990,Shijiazhuang Y-5,,China Naval Air Force - 2nd Independent Regiment,3,Beijing,w/o
1990,9 Aug 1990,Boeing 737-3H4,N327SW,Southwest Airlines,0,"Corpus Christi, TX",non
1990,10 Aug 1990,Antonov An-12,,Democratic Republic of Afghanistan Air Force - DRAAF,83,near Shindand,w/o
1990,12 Aug 1990,Antonov An-2,CCCP-62407,"Aeroflot, Yakutsk Civil Aviation Directorate",,,w/o
1990,12 Aug 1990,Lockheed L-100-30 Hercules,N911SJ,Southern Air Transport,0,Juba Airport (JUB),w/o
1990,13 Aug 1990,Rockwell 1121 Jet Commander,N301AJ,Aviex Jet,1,"0,5 km SE of Cozumel Airport (CZM)",w/o
1990,14 Aug 1990,Dornier 228-201,B-12268,Formosa Airlines,0,Orchid Island Airport (KYD),w/o
1990,16 Aug 1990,de Havilland Canada DHC-6 Twin Otter,,Ethiopian Airlines,0,Aden International Airport (ADE),unk
1990,18 Aug 1990,Antonov An-28,CCCP-28761,Aeroflot / Tajikistan,0,Rushan,w/o
1990,19 Aug 1990,Tupolev Tu-154,,Aeroflot,0,Karachi International Airport (KHI),non
1990,20 Aug 1990,Shorts 360-300,N730CC,CCAir,0,"Charlotte-Douglas Airport, NC (CLT)",w/o
1990,21 Aug 1990,Beechcraft 1900C-1,1905,Republic of China Air Force - ROCAF,18,Yunlin,w/o
1990,22 Aug 1990,de Havilland Canada DHC-6 Twin Otter 100,N203E,National Executive Flight Service,0,"California City, CA",sub
1990,23 Aug 1990,Ilyushin Il-20,,Soviet Navy,0,Kacha Air Base,w/o
1990,23 Aug 1990,Grumman G-159 Gulfstream I,N80RD,Rowan Drilling Comp. Marine,3,"Houston-Intercontinental Airport, TX (IAH)",w/o
1990,25 Aug 1990,Lockheed C-130H Hercules,M30-03,Royal Malaysian Air Force - RMAF,1,Sibu Airport (SBW),sub
1990,27 Aug 1990,Boeing 747-422,N174UA,United Airlines,0,"Los Angeles International Airport, CA (LAX)",min
1990,29 Aug 1990,Lockheed C-5A Galaxy,68-0228,United States Air Force - USAF,13,Ramstein AFB (RMS),w/o
1990,30 Aug 1990,Antonov An-2,,Aeroflot,0,Livny,non
1990,30 Aug 1990,Yakovlev Yak-42,,Aeroflot,0,Voronezh Airport (VOZ',non
