year,date,type,registration,operator,fatalities,location,damage
1993,14 Aug 1993,Tupolev Tu-154,,Aeroflot,0,Moscow-Sheremetyevo Airport (SVO),non
1993,15 Aug 1993,Boeing 737-406,PH-BDS,KLM Royal Dutch Airlines,0,Düsseldorf Airport (DUS),non
1993,16 Aug 1993,Antonov An-2,,ROSTO Yegoryevsky,2,Yegoryevsk-Shuvoye Airport,w/o
1993,16 Aug 1993,Cessna 208B Super Cargomaster,N1037D,Aviation & Services Europe,1,near Valensole,w/o
1993,17 Aug 1993,Swearingen SA226-TC Metro II,N220KC,Aviation Services,2,"Hartford-Brainard Airport, CT (HFD)",w/o
1993,18 Aug 1993,McDonnell Douglas DC-8-61,N814CK,Connie Kalitta Services,0,Guantánamo NAS (NBW),w/o
1993,19 Aug 1993,de Havilland Canada DHC-3 Otter,N321KA,Ketchum Air Service,0,"near Iliamna, AK",w/o
1993,20 Aug 1993,Antonov An-12TB,RA-11375,Komi Avia,0,"8,6 km from Slavgorod",w/o
1993,22 Aug 1993,Canadair CL-215-1A10,1064,Elleniki Polemikí Aeroporía,2,Pátras,w/o
1993,23 Aug 1993,Antonov An-12,,Russian Air Force,6,"near Krasnoslobodsk, Volgograd region",w/o
1993,26 Aug 1993,McDonnell Douglas MD-11C,I-DUPU,Alitalia,0,"over Boulder, NV",sub
1993,26 Aug 1993,Let L-410UVP-E,RA-67656,Sakha Avia,24,near Aldan Airport (ADH),w/o
1993,26 Aug 1993,Dassault Falcon 10,F-BYCV,BAC Inc.,0,"Hailey-Friedman Memorial Airport, ID (SUN)",sub
1993,26 Aug 1993,Cessna 208A Caravan I,PT-OGN,Transportes Aéreos Meridionais - TAM,0,"Sinop Airport, MT (OPS)",w/o
1993,27 Aug 1993,Boeing 737-2R4C,,Alyemda,0,Al Ghaydah Airport (AAY),non
1993,28 Aug 1993,Yakovlev Yak-40,87995,Tajikistan Airlines,82,near Khorog,w/o
1993,28 Aug 1993,Antonov An-28,HA-LAJ,Hungarian Aeronautical Association,0,near Weston on the Green,w/o
1993,28 Aug 1993,Cessna 208B Super Cargomaster,N781FE,Westair Industries,0,"Los Angeles, CA",sub
1993,29 Aug 1993,Antonov An-26,RA-26549,Magnitogorsk Avia,0,Donetsk Airport (DOK),w/o
1993,31 Aug 1993,Curtiss C-46F-1-CU Commando,HK-400,Aerosol - Aerovias Sol de Colombia,0,La Colina Airport,w/o
1993,31 Aug 1993,Douglas R4D-5 (DC-3),HK-3220,Transoriente Colombia,2,Barrancominas Airport (NBB),w/o
1993,31 Aug 1993,Reims Cessna F406 Caravan II,F-GJLH,J.G. Abdi,0,Strasbourg,w/o
1993,1 Sep 1993,Tupolev Tu-154,,Aeroflot,0,Vladivostok Airport (VVO),non
1993,2 Sep 1993,Learjet 25D,XA-NOG,TAESA,0,Tijuana-Rodriguez Airport (TIJ),w/o
1993,3 Sep 1993,North American Rockwell Sabreliner 40A,OB-1319,Aero Condor,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",sub
1993,3 Sep 1993,McDonnell Douglas MD-88,N913DL,Delta Air Lines,0,"Lexington, KY",non
1993,5 Sep 1993,Learjet 25D,N999BH,Cambridge Aviation,7,"11 km S of Pecos, NM",w/o
1993,5 Sep 1993,Boeing 727-281,HI-617CA,Dominicana de Aviacion,0,Santo Domingo-Las Americas Airport (SDQ),w/o
1993,6 Sep 1993,Boeing 767-209,ZK-NBF,Air New Zealand,0,"Los Angeles International Airport, CA (LAX)",sub
1993,6 Sep 1993,Cessna 208 Caravan I,VT-AAN,Andaman and Nicobar Administration,1,5 km off Port Blair,w/o
1993,7 Sep 1993,Hawker Siddeley HS-748-222 Srs. 2,PK-OBV,Airfast Indonesia,0,Tanahmerah Airport (TMH),w/o
1993,8 Sep 1993,Airbus A310-324,OE-LAC,Austrian Airlines,0,near Linz,non
1993,12 Sep 1993,Boeing 747-428,F-GITA,Air France,0,"Papeete-Faaa Airport (PPT), Tahiti",sub
1993,13 Sep 1993,Curtiss C-46A-40-CU Commando,CP-1848,Frigorifico Santa Rita,0,Angora,w/o
1993,14 Sep 1993,Airbus A320-211,D-AIPN,Lufthansa,2,Warszawa-Okecie Airport (WAW),w/o
1993,14 Sep 1993,Convair CV-440,CP-2256,SASA - Servicios Aéreos Santa Ana,0,near Colquemarca,w/o
1993,15 Sep 1993,Piaggio PD.808TP,MM61953,Aeronautica Militare Italiana - AMI,3,Venice-Marco Polo Airport (VCE),w/o
1993,15 Sep 1993,Antonov An-2R,CCCP-07624,Far East Airlines,,near Vladivostok,w/o
1993,15 Sep 1993,Tupolev Tu-134,,Aeroflot,0,"Kiev, Oslo",non
1993,15 Sep 1993,Boeing 757-232,N627DL,Delta Air Lines,0,"Atlanta, GA",non
1993,19 Sep 1993,Swearingen SA227-AC Metro III,F-GILN,Airlec,0,Troyes-Barberey Airport,w/o
1993,20 Sep 1993,de Havilland Canada DHC-5D Buffalo,9T-CBB,Zaire Air Force,,Kinshasa-N'Dolo Airport ?,w/o
1993,20 Sep 1993,Tupolev Tu-134A,65809,Orbi Georgian Airways,0,Sukhumi-Babusheri Airport (SUI),w/o
1993,21 Sep 1993,Tupolev Tu-134A,65893,Transair Georgia,27,Sukhumi-Babusheri Airport (SUI),w/o
1993,22 Sep 1993,Tupolev Tu-154B,85163,Orbi Georgian Airways,108,Sukhumi-Babusheri Airport (SUI),w/o
1993,23 Sep 1993,Tupolev Tu-134A,CCCP-65001,Transair Georgia,1,Sukhumi-Babusheri Airport (SUI),w/o
1993,23 Sep 1993,Tupolev Tu-154B-2,85359,Orbi Georgian Airways,,Sukhumi-Babusheri Airport (SUI),w/o
1993,25 Sep 1993,Antonov An-12TB,RA-13387,MAP Rostov VPO,0,7 km from Tyumen Airport (TJM),w/o
1993,26 Sep 1993,Antonov An-2R,RA-68150,"Aeroflot, North Kavkaz Civil Aviation Directorate",,Novoalekseevskaya,w/o
1993,29 Sep 1993,Dassault Falcon 10,F-GJGB,Chaillotine Air Service,2,Besançon-La Vèze Airport (QBQ),w/o
1993,30 Sep 1993,Tupolev Tu-154M,B-2822 ?,Sichuan Airlines,0,Taipei-Chiang Kai Shek Airport (TPE),non
1993,1 Oct 1993,FMA IA 50 Guaraní II,T-119,Fuerza Aérea Argentina - FAA,11,"40 km S of Gobernador Crespo, ER",w/o
1993,2 Oct 1993,British Aerospace BAe-146-100,VH-NJR,"Airlink, opb National Jet Systems",0,"Rockhampton Airport, QLD (ROK)",sub
1993,2 Oct 1993,Cessna 208B,N9762B,Martinaire,0,"Dfw Airport, TX",sub
1993,3 Oct 1993,McDonnell Douglas DC-9-83 (MD-83),9Y-THR,BWIA International,0,"near Miami, FL",sub
1993,6 Oct 1993,Fokker F-27 Friendship 600,XY-AEP,Myanma Airways,0,Kawthaung Airport (KAW),w/o
1993,7 Oct 1993,Lockheed C-141B Starlifter,65-0253,United States Air Force - USAF,0,"Fairfield-Travis AFB, CA (SUU)",w/o
1993,7 Oct 1993,Douglas DC-3C,N781T,Tol Air Services,0,San Juan,sub
1993,8 Oct 1993,Douglas C-54G-15-DO (DC-4),N811E,Brooks Air Fuel,0,"Point Lay-Dew Station Airport, AK (PIZ)",sub
1993,9 Oct 1993,Airbus A320-211,C-FDCA,Canadian Airlines International,0,over Gulf of Mexico,non
1993,13 Oct 1993,IRMA/Britten-Norman BN-2A-20 Islander,P2-HBE,Heli Niugini,4,Jimi Valley,w/o
1993,16 Oct 1993,McDonnell Douglas MD-81,HB-INH,Swissair,0,near München-Franz Josef Strauss Airport (MUC),min
1993,19 Oct 1993,Swearingen SA226-TC Metro II,EC-FHB,Swiftair,0,Madrid-Barajas Airport (MAD),w/o
1993,22 Oct 1993,Boeing 767-322ER,N649UA,United Airlines,0,Atlantic Ocean,non
1993,22 Oct 1993,unknown,,EgyptAir,0,Sana'a International Airport (SAH),unk
1993,22 Oct 1993,de Havilland Canada DHC-8-301 Dash 8,C-GTAT,Time Air,0,"near Calgary, AB",non
1993,25 Oct 1993,Airbus A310-222,,Nigeria Airways,1,Niamey Airport (NIM),min
1993,25 Oct 1993,McDonnell Douglas DC-9-82 (MD-82),B-28003,Far Eastern Air Transport - FEAT,0,Kaohsiung International Airport (KHH),w/o
1993,25 Oct 1993,GAF Nomad N.22,ZK-NOM,Hibiscus Air,9,Franz Josef Glacier,w/o
1993,25 Oct 1993,Embraer EMB-110P2 Bandeirante,HS-SKL,Bangkok Airways,0,Bangkok-Don Muang International Airport (BKK),w/o
1993,26 Oct 1993,Beechcraft 300/F Super King Air,N82,Federal Aviation Administration - FAA,3,"Front Royal, VA",w/o
1993,26 Oct 1993,McDonnell Douglas DC-9-82 (MD-82),B-2103,China Eastern Airlines,2,Fuzhou Yixu Airport (FOC),w/o
1993,26 Oct 1993,Embraer P-95 Bandeirulha (EMB-111A),2290,Força Aérea Brasileira - FAB,3,"off Angra dos Reis, RJ",w/o
1993,27 Oct 1993,Let L-410UVP,UR-67536,Air Ukraine,0,Tyumen Airport (TJM),sub
1993,27 Oct 1993,de Havilland Canada DHC-6 Twin Otter 300,LN-BNM,Widerøes Flyveselskap,6,6 km ENE of Namsos Airport (OSY),w/o
1993,27 Oct 1993,Beechcraft 200 Super King Air,N191FL,Private,0,"Reno-Cannon International Airport, NV (RNO)",sub
1993,29 Oct 1993,Antonov An-2,LZ-...,Unknown,1,within Bulgaria,w/o
1993,3 Nov 1993,Convair CV-440,CP-2212,CAMBA - Commercializadora Aérea Mixta Boliviana,0,near La Paz,w/o
1993,4 Nov 1993,Boeing 747-409,B-165,China Airlines,0,Hong Kong-Kai Tak International Airport (HKG),sub
1993,5 Nov 1993,Fokker F-27 Friendship 500,OE-ILW,Amadeus Air,0,Bergamo-Orio Al Serio Airport (BGY),sub
1993,5 Nov 1993,Boeing 737,,Xiamen Airlines,0,Taipei,non
1993,5 Nov 1993,Swearingen SA227-AC Metro III,N550TD,Northeast Express Airlines Inc,0+1,"Newark, NJ",non
1993,7 Nov 1993,Cessna 208 Caravan I,,Unknown,0,Lokichoggio Airport (LKG),sub
1993,7 Nov 1993,Aero Modifications AMI DC-3-65TP,ZS-KCV,Professional Aviation Services,0,Lokichoggio Airport (LKG),w/o
1993,8 Nov 1993,de Havilland Canada DHC-8-301,,Zhejiang Airlines,0,Taipei,non
1993,8 Nov 1993,Harbin Y-12-II,9N-ACS,Nepal Airways,0,Jomsom Airport (JMO),w/o
1993,10 Nov 1993,de Havilland Canada DHC-3 Otter,,Ketchikan Air Service,0,"Thorne Bay, AK",w/o
1993,10 Nov 1993,Hawker Siddeley HS-748-234 Srs. 2A,C-GQTH,Air Manitoba,7,"2 km NW of Sandy Lake Airport, ON (ZSJ)",w/o
1993,11 Nov 1993,Antonov An-2P,EZ-07469,Turkmenistan Airlines,0,Bekdash,w/o
1993,12 Nov 1993,McDonnell Douglas DC-9-82 (MD-82),B-2138,China Northern Airlines,0,Taipei,non
1993,13 Nov 1993,Antonov An-2T,YV-511C,Aéreo Transporte La Montaña,0,La Paragua,w/o
1993,13 Nov 1993,McDonnell Douglas DC-9-82 (MD-82),B-2141,China Northern Airlines,12,2 km SW of Urumqi Airport (URC),w/o
1993,15 Nov 1993,Boeing 727-227,N16762,Continental Air Lines,0,"Chicago-O'Hare International Airport, IL (ORD)",sub
1993,15 Nov 1993,Airbus A300B2-101,VT-EDV,Indian Airlines,0,26 km from Tirupati Airport (TIR),w/o
1993,15 Nov 1993,Antonov An-124-100,RA-82071,Aviastar,17,35 km E of Kerman,w/o
1993,19 Nov 1993,Boeing 737-112,HP-873CMP,COPA Panama - Compañía Panameña de Aviación,0,Panama City-Tocumen International Airport (PTY),w/o
1993,20 Nov 1993,Yakovlev Yak-42D,RA-42390,"Avioimpex, lsf Saravia - Saratov Airlines",116,2 km E of Ohrid Airport (OHD),w/o
1993,22 Nov 1993,Douglas C-47A-65-DL (DC-3C),C9-STE,Scan Transportes Aéreos - STASA,2,near Molima,w/o
1993,24 Nov 1993,McDonnell Douglas DC-9-87 (MD-87),SE-DIB,Scandinavian Airlines System - SAS,0,Kobenhavn-Kastrup Airport (CPH),sub
1993,26 Nov 1993,Douglas C-118B (DC-6),N1597F,Allcair Air Transport,0,Patriot Hills,w/o
1993,26 Nov 1993,McDonnell Douglas DC-10-30,YV-135C,VIASA,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",sub
1993,27 Nov 1993,Fokker 100,B-2231,China Eastern Airlines,0,Fuzhou Yixu Airport (FOC),non
1993,29 Nov 1993,Fokker F-27 Friendship 300,EP-IOT,National Iranian Oil Company - NIOC,0,Basra International Airport (BSR),non
1993,1 Dec 1993,Cessna 650 Citation III,N700RR,Consolidated International Services Inc.,0,"Tampa International Airport, FL (TPA)",sub
1993,1 Dec 1993,Shorts 330-300UTT,C-FPQE,Gouvernement du Québec,0,"near Umiujaq Airport, QC (YUD)",w/o
1993,1 Dec 1993,British Aerospace 3101 Jetstream 31,N334PX,"Northwest Airlink, opb Express Airlines I",18,"5,4 km NW of Hibbing-Chisholm Airport, MN (HIB)",w/o
1993,2 Dec 1993,Shorts SC.7 Skyvan 3,LX-UGO,CAE Aviation,0,Vahun,w/o
1993,3 Dec 1993,Cessna 550 Citation II,N550RD,"Kansas Air Investments, Inc",0,"Chicago-Dupage County Airport, IL (DPA)",sub
1993,3 Dec 1993,Britten-Norman BN-2A-20 Islander,C-GMOP,Arctic Wings and Rotors,7,"13 km SE of Tuktoyaktuk, NT",w/o
1993,6 Dec 1993,Antonov An-26,RA-26515,Aeroflot,0,Tura Airport,sub
1993,6 Dec 1993,Swearingen SA226-AT Merlin IV,C-GVCY,Provincial Airlines,0,"Deer Lake Airport, NL (YDF)",w/o
1993,6 Dec 1993,Cessna 208A Caravan I,PT-OGM,Transportes Aéreos Meridionais - TAM,0,"3 km from Tucumã Airport, PA (TUZ)",w/o
1993,8 Dec 1993,Antonov An-24RV,RA-46605,Magadan Avia,,unknown,w/o
1993,8 Dec 1993,McDonnell Douglas DC-9-82 (MD-82),B-2138,China Northern Airlines,0,Taipei,non
1993,9 Dec 1993,NAMC YS-11-117,C5-GAA,Gambia Airways,0+3,off Dakar-Yoff Airport (DKR),sub
1993,9 Dec 1993,Saab 340B,HB-AKC,Crossair,0,Berne-Belp Airport (BRN),min
1993,9 Dec 1993,de Havilland Canada DHC-6 Twin Otter 300,6V-ADE,Air Senegal,3,off Dakar-Yoff Airport (DKR),w/o
1993,10 Dec 1993,Britten-Norman BN-2A-20 Islander,P2-ALL,Airlink,0,Namatanai,w/o
1993,10 Dec 1993,Airbus A320-211,F-GFKK ?,Air France,0,Nice-Côte d'Azur Airport (NCE),non
1993,10 Dec 1993,Boeing KC-135R Stratotanker,57-1470,Air National Guard,0+6,"Milwaukee-General Mitchell Airport, WI (MKE)",w/o
1993,12 Dec 1993,Boeing 737-200,,Xiamen Airlines,0,Taipei,non
1993,12 Dec 1993,Fokker F-27 Friendship 600RF,5H-MPT,Air Tanzania,0,Dar es Salaam International Airport (DAR),w/o
1993,13 Dec 1993,Antonov An-8,RA-13323,Kadvi Company,0,Yerevan Airport (EVN),w/o
1993,13 Dec 1993,Harbin Y-12-II,RDPL-34117,Lao Aviation,18,Phonesavanh,w/o
1993,13 Dec 1993,Beechcraft 200T Super King Air,9M-CAM,Malaysia Civil Aviation Authority,0,Ipoh Airport (IPH),w/o
1993,14 Dec 1993,GAF Nomad N.24A,VH-DHF,Skywest Aviation,0,"Douglas-Daly Experiment Station Airstrip, NT",sub
1993,14 Dec 1993,Antonov An-2,RA-62599,Krasnoyarsk Avia,0,Vorogovo,w/o
1993,15 Dec 1993,Lockheed C-130H Hercules,4761,Hukbong Himpapawid ng Pilipinas (Philippine Air Force),30,"Tanag, Libmanan, Camarines Sur",w/o
1993,15 Dec 1993,Mitsubishi Mu-300 Diamond IA,N710MB,Whitham Farm Feedyard Inc,3,"ca 13 km SE of Goodland-Renner Field, KS (GLD)",w/o
1993,15 Dec 1993,IAI 1124A Westwind II,N309CK,Martin Aviation,5,"6,5 km N of Santa Ana-John Wayne International Airport, CA (SNA)",w/o
1993,19 Dec 1993,Dornier 228-201,SX-BHC,Olympic Aviation,0,Sitia Airport (JSH),sub
1993,19 Dec 1993,Antonov An-2R,LY-ADO,Air Lithuania,,Suwalki,w/o
1993,19 Dec 1993,Antonov An-12,RA-12187,Petrolada,0,Lensk,sub
1993,21 Dec 1993,British Aerospace BAe-125-800B,D-CSRB,SRB Airlines,0,Linz Airport (LNZ),sub
1993,22 Dec 1993,Antonov An-2TP,RA-01410,"Aeroflot, Tyumen Civil Aviation Directorate",0,190 km from Uraj,w/o
1993,23 Dec 1993,Britten-Norman BN-2A-26 Islander,P2-ISR,Rimbunan Hijau,0,Mount Hagen,w/o
1993,25 Dec 1993,Tupolev Tu-154B-2,RA-85296,"Vnukovo Airlines, lsf Aeroflot",0,Grozny Airport (GRV),w/o
1993,26 Dec 1993,Antonov An-26B,RA-26141,Kuban Airlines,35,Gyumri-Leninakan Airport (LWN),w/o
1993,28 Dec 1993,Boeing 737,,Xiamen Airlines,0,Xiamen Airport (XMN),non
1993,28 Dec 1993,Xian Yunshuji Y-7,,Fujian Airlines,0,Taipei,non
1993,28 Dec 1993,Boeing 747-2J6BM,B-2450,Air China,0,Shanghai-Hongqiao Airport (SHA),non
1993,28 Dec 1993,Shorts SC.7 Skyvan 3-100,G-OVAN,Peterborough Parachute Centre,1,Ampuriabrava Airport (LEAP),w/o
1993,28 Dec 1993,GAF Nomad N.22B,11,Hukbong Himpapawid ng Pilipinas (Philippine Air Force),0,"off Margosatubig, Zamboanga del Sur",w/o
1993,29 Dec 1993,Tupolev Tu-154B-2,RA-85358,OmskAvia,0,Omsk Airport (OMS),sub
1993,31 Dec 1993,Boeing 767-35DER,SP-LPA,LOT Polskie Linie Lotnicze,0,Warszawa-Okecie Airport (WAW),sub
1993,unk. date 1993,Antonov An-26,CU-T1240,Aerogaviota,0,Playa Baracoa Airport (UPB),w/o
1993,unk. date 1993,Beechcraft 99 Airliner,HR-IAO,Isleña Airlines,0,,w/o
1993,unk. date 1993,Antonov An-26,024,Força Aérea de Moçambique,0+1,Cuamba Airport (FXO),w/o
1994,2 Jan 1994,Britten-Norman BN-2A-9 Islander,YV-2349P,JSCTD,2,near Elorza Airport (EOZ),w/o
1994,3 Jan 1994,Tupolev Tu-154M,RA-85656,Baikal Airlines,124+1,near Mamony,w/o
1994,3 Jan 1994,Boeing 707-321C,ST-AMF,Trans Arabian Air Transport - TAAT,0,Jeddah-King Abdulaziz International Airport (JED),sub
1994,6 Jan 1994,IRMA/Britten-Norman BN-2A-21 Islander,PK-VIV,Dirgantara Air Service,0,Kuala Kapuas,w/o
1994,7 Jan 1994,British Aerospace 4101 Jetstream 41,N304UE,"United Express, opb Atlantic Coast Airlines",5,"1,9 km E of Columbus-Port Columbus International Airport, OH (CMH)",w/o
1994,8 Jan 1994,Beechcraft A100 King Air,OO-TLS,Travair,0,Bacau Airport (BCM),w/o
1994,9 Jan 1994,Dornier 228-201,SX-BHC,Olympic Aviation,0,15 km NW of Athens-Ellinikon International Airport (ATH),sub
1994,13 Jan 1994,Airbus A320 ?,,Indian Airlines,0,Bangalore-Hindustan Airport (BLR),non
1994,15 Jan 1994,Boeing-Canada PB2B-1 Canso A (PBY-5A),N5404J,The Catalina Company,0,150 km N off Christmas Island,w/o
1994,15 Jan 1994,IAI 1123 Westwind,N13GW,Unknown,,Unknown,w/o
1994,18 Jan 1994,Antonov An-22,RA-09331,Russian Air Force,7,17 km SW of Tver-Migalovo Airport (KLD),w/o
1994,18 Jan 1994,Learjet 24D,9Q-CBC,Scibe Airlift Cargo Zaire,2,20 km from Kinshasa-N'Djili Airport (FIH),w/o
1994,20 Jan 1994,Airbus A340-211,F-GNIA,Air France,0,Paris-Charles de Gaulle Airport (CDG),w/o
1994,20 Jan 1994,Mitsubishi MU-300 Diamond 1A,N306P,"Chattem, Inc.",0,"Teterboro, NJ",sub
1994,21 Jan 1994,Lockheed L-188A Electra,9Q-CCV,Trans Service Airlift,0,Kinshasa-N'Djili Airport (FIH),w/o
1994,23 Jan 1994,FMA IA 50 Guaraní II,LV-LAE,Línea Aérea de Entre Ríos - LAER,0,"Santa Elena Airstrip, ER",w/o
1994,23 Jan 1994,Boeing 757-200,,Ethiopian Airlines,0,Roma-Ciampino Airport (CIA),non
1994,25 Jan 1994,Yakovlev Yak-42D,RA-42331,"Aeroflot, North Kavkaz Civil Aviation Directorate",0,Ufa Airport (UFA),sub
1994,27 Jan 1994,IAI 1124A Westwind II,C-FMWW,Millar Western Industries,2,"4,6 km ESE of Meadow Lake Airport, SK (YLJ)",w/o
1994,28 Jan 1994,Fokker 100,PH-KLG,KLM Royal Dutch Airlines,0,Amsterdam-Schiphol Airport (AMS),sub
1994,28 Jan 1994,Airbus A300B4-203,VR-BNK,Air Jamaica,0,"Ormond Beach, FL",non
1994,29 Jan 1994,Airbus A300B4-605R ?,,China Eastern Airlines,0,Hangzhou Jianqiao Airport (HGH),non
1994,30 Jan 1994,Curtiss C-46A Commando,HK-1856,Transoceanica de Aviacion,0,Puerto Inirida Airport (PDA),w/o
1994,31 Jan 1994,Douglas DC-3C,N907Z,Miami Valley Aviation,0,"Anderson Municipal Airport, IN (AID)",sub
1994,1 Feb 1994,Antonov An-24B,RA-47718,Kolyma-Avia,0,Omsukchan Airport,sub
1994,1 Feb 1994,Saab 340B,N349SB,"American Eagle, opb Simmons Airlines",0,"New Roads-False River Regional Airport, LA (HZR)",sub
1994,5 Feb 1994,Britten-Norman BN-2A Islander,G-AXHE,North-West Parachute Centre,0,Cark Airport,w/o
1994,8 Feb 1994,Antonov An-12B,CCCP-11340,"Aeroflot, Privolzhsk Civil Aviation Directorate",0,Anadyr Airport (DYR),sub
1994,9 Feb 1994,Boeing 737-260 Advanced,ET-AJB,Ethiopian Airlines,0,Djibouti Airport (JIB),non
1994,11 Feb 1994,ATR 42-300,G-BUEB,CityFlyer Express,0,London-Gatwick Airport (LGW),sub
1994,12 Feb 1994,Boeing 747-422,N186UA,United Airlines,0,Pacific Ocean,non
1994,13 Feb 1994,British Aerospace BAe-125-800B,D-CMIR,Aero-Dienst,0,München-Franz Josef Strauss Airport (MUC),sub
1994,18 Feb 1994,Boeing 737,,China Southwest Airlines,,unknown airport,non
1994,22 Feb 1994,Tupolev Tu-134A-3,HA-LBP,Malev Hungarian Airlines,0+4,Budapest-Ferihegy Airport (BUD),w/o
1994,24 Feb 1994,Beechcraft Beechjet 400A,N8279G,Beechcraft Sales South Inc.,0,"Cleveland-Cuyahoga County Airport, OH (CGF)",sub
1994,24 Feb 1994,Antonov An-12BP,RA-11118,Pulkovo Aviation Enterprise,13,"4,5 km from Nalchik Airport (NAL)",w/o
1994,25 Feb 1994,Yakovlev Yak-40,OB-1559,Expresso Aéreo,31,ca 50 km S of Tingo Maria,w/o
1994,25 Feb 1994,Vickers 813 Viscount,G-OHOT,British World Airways,1,"7,5 km SW of Uttoxeter",w/o
1994,26 Feb 1994,IAI Arava 201,2001,Fuerza Aérea Mexicana,7,"near San José del Llano, Sinaola",w/o
1994,27 Feb 1994,Shorts 330-200,SE-INZ,Flying Enterprise,0,Trollhättan Airport (THN),sub
1994,28 Feb 1994,Boeing 727-2D6,,Air Algérie,0,Alicante Airport (ALC),non
1994,28 Feb 1994,Lockheed L-1011 TriStar 1,N303EA,Rich International Airways,0,"Fairbanks International Airport, AK (FAI)",sub
1994,xx Feb 1994,Douglas DC-6BF,HK-3874X,Aerosol - Aerovias Sol de Colombia,0,Villavicencio-La Vanguardia Airport (VVC),w/o
1994,1 Mar 1994,Boeing 747-251B,N637US,Northwest Airlines,0,Tokyo-Narita Airport (NRT),sub
1994,1 Mar 1994,Lockheed L-1011 TriStar 1,N303EA,Rich International Airways,0,"Fairbanks, AK",sub
1994,2 Mar 1994,McDonnell Douglas DC-9-82 (MD-82),N18835,Continental Air Lines,0,"New York-La Guardia Airport, NY (LGA)",sub
1994,3 Mar 1994,Douglas DC-6,CP-2251,J.C. Barravino Gammarra,0,Tumbes Airport (TBP),w/o
1994,3 Mar 1994,Beechcraft 200 Super King Air,VH-WNH,Skywest Aviation,0,"Alice Springs Airport, NT (ASP)",sub
1994,4 Mar 1994,Boeing 747-209F (SCD),B-160,China Airlines,0,"Anchorage-Ted Stevens International Airport, AK (ANC/PANC)",min
1994,8 Mar 1994,Ilyushin Il-86,RA-86119,Aeroflot Russian International Airlines,4+5,Delhi-Indira Gandhi International Airport (DEL),w/o
1994,8 Mar 1994,Airbus A300,,Saudi Arabian Airlines,0,Nairobi-Jomo Kenyatta International Airport (NBO),non
1994,8 Mar 1994,Boeing 737-2R4C,VT-SIA,Sahara Airlines,4+5,Delhi-Indira Gandhi International Airport (DEL),w/o
1994,9 Mar 1994,Swearingen SA226-AT Merlin IV,VH-SWP,Jetcraft,1,"15 km NE of Tamworth Airport, NSW (TMW)",w/o
1994,11 Mar 1994,Swearingen SA226-AT Merlin IV,TN-ADP,Aéro-Service,0,Pointe Noire Airport (PNR),w/o
1994,13 Mar 1994,ATR 42-300,C-GIQV,Inter-Canadian,0,"near Val-d'Or Airport, QC (YVO)",sub
1994,14 Mar 1994,Lockheed AC-130H Spectre,69-6576,United States Air Force - USAF,8,off Malindi,w/o
1994,15 Mar 1994,Sud Aviation SE-210 Caravelle 10B3,HK-3855,SEC Colombia,0,Bogotá-Eldorado Airport (BOG),w/o
1994,15 Mar 1994,Reims Cessna F406 Caravan II,5Y-NAL,Unknown,,Unknown,w/o
1994,15 Mar 1994,Douglas DC-8-61 (F),N817CK,American International Airways,0,"Covington, KY",non
1994,16 Mar 1994,IRMA/Pilatus Britten-Norman BN-2A-21 Islander,D2-ECE,Mavewa Táxi Aéreo,0,16 km from Cabinda,w/o
1994,17 Mar 1994,Dassault Falcon 900,N327K,Ford Motor Co.,0,"Detroit-Metropolitan Wayne County Airport, MI (DTW)",sub
1994,17 Mar 1994,Lockheed C-130H Hercules,5-8521,Islamic Republic of Iran Air Force - IRIAF,32,3 km N of Stepanakert,w/o
1994,18 Mar 1994,Grumman G-73T Turbo Mallard,N150FB,Chalk's International Airlines,2,"Key West Harbor, FL",w/o
1994,18 Mar 1994,Douglas DC-3C,N3433Y,Salair,2,"1 km SW of Spokane International Airport, WA (GEG)",w/o
1994,19 Mar 1994,de Havilland Canada DHC-6 Twin Otter,PK-YNM,Trigana Air Service,0,"Wagete, Irian Jaya",sub
1994,19 Mar 1994,de Havilland Canada DHC-6 Twin Otter 300,5A-DJK,Light Air Transport & Technical Services,1,Tripoli International Airport (TIP),w/o
1994,19 Mar 1994,CASA C-212 Aviocar 200,FAC-1154,SATENA,0,near La Macarena,w/o
1994,20 Mar 1994,Canadair CL-600-2B16 Challenger 601-3A,N88HA,Crystal Air and Aviation,0,"Bassett, NE",sub
1994,20 Mar 1994,Canadair CL-600-2B16 Challenger 601-3A,N88HA,Crystal Aviation,0,"Bassett-Rock, NE",sub
1994,21 Mar 1994,IRMA/Britten-Norman BN-2A-21 Islander,VH-JUU,Aurukun Air Services,6,"Weipa Airport, QLD (WEI)",w/o
1994,21 Mar 1994,McDonnell Douglas DC-9,,Meridiana,0,Roma-Fiumicino Airport (FCO),non
1994,21 Mar 1994,McDonnell Douglas DC-9-32,EC-CLE,Aviaco,0,Vigo Airport (VGO),w/o
1994,23 Mar 1994,Lockheed C-141B Starlifter,66-0173,United States Air Force - USAF,0+23,"Fayetteville-Pope AFB, NC (POB)",w/o
1994,23 Mar 1994,Cessna 650 Citation VI,PT-OMV,Orion Aero Táxi,4,40 km NW of Bogotá,w/o
1994,23 Mar 1994,Airbus A310-304,F-OGQS,Aeroflot Russian International Airlines,75,near Mezhduretshensk,w/o
